row_number,canonical_name,original_merchant,aliases,category,subcategory,confidence,notes,action
1,AMAZON GHEM VANCOUVER BC,AMAZON* 3G56H9EM3 VANCOUVER BC,AMAZON* 3G56H9EM3 VANCOUVER BC,TBD,TBD,medium,,ADD
2,BEST BUY  KITCHENER ON,BEST BUY #935 KITCHENER ON,BEST BUY #935 KITCHENER ON,TBD,TBD,medium,,ADD
3,MYSTRIVERA KITCHENER SOUON,MYSTRIVERA KITCHENER SOUON,MYSTRIVERA KITCHENER SOUON,TBD,TBD,medium,,ADD
4,AMAZON.CA NMRE VANCOUVER BC,AMAZON.CA* NM50R7E50 VANCOUVER BC,AMAZON.CA* NM50R7E50 VANCOUVER BC,TBD,TBD,medium,,ADD
5,AMAZON BXJ VANCOUVER BC,AMAZON* BX45J1123 VANCOUVER BC,AMAZON* BX45J1123 VANCOUVER BC,TBD,TBD,medium,,ADD
