ref,merchant,amount,is_expense,currency,fx_amount_usd,transaction_type,is_foreign_currency,statement_start_date,statement_end_date,transaction_date,posted_date,statement_id,statement_year_month,posting_lag_days,transaction_cycle_day,transaction_weekday,is_weekend,merchant_standardized,match_type,match_confidence,merchant_category,merchant_subcategory,match_notes,is_internal
002,AMAZON* 3G56H9EM3 VANCOUVER BC,-27.67,False,CAD,,Refund,False,2025-09-24,2025-10-23,2025-09-25,2025-09-26,2025-09-24__2025-10-23,202510,1,2,Thursday,False,AMAZON* 3G56H9EM3 VANCOUVER BC,unmatched,0.0,Other,Unclassified,Requires manual review,False
003,BEST BUY #935 KITCHENER ON,2.15,True,CAD,,Expense,False,2025-09-24,2025-10-23,2025-09-27,2025-09-28,2025-09-24__2025-10-23,202510,1,4,Saturday,True,BEST BUY #935 KITCHENER ON,unmatched,0.0,Other,Unclassified,Requires manual review,False
005,MYSTRIVERA KITCHENER SOUON,101.69,True,CAD,,Expense,False,2025-09-24,2025-10-23,2025-09-30,2025-09-30,2025-09-24__2025-10-23,202510,0,7,Tuesday,False,MYSTRIVERA KITCHENER SOUON,unmatched,0.0,Other,Unclassified,Requires manual review,False
010,PAYMENT FROM - *****07*4387,-479.94,False,CAD,,Internal Transaction,False,2025-09-24,2025-10-23,2025-10-07,2025-10-08,2025-09-24__2025-10-23,202510,1,14,Tuesday,False,PAYMENT FROM - *****07*4387,unmatched,0.0,Other,Unclassified,Requires manual review,True
015,AMAZON.CA* NM50R7E50 VANCOUVER BC,21.44,True,CAD,,Expense,False,2025-09-24,2025-10-23,2025-10-12,2025-10-13,2025-09-24__2025-10-23,202510,1,19,Sunday,True,AMAZON.CA* NM50R7E50 VANCOUVER BC,unmatched,0.0,Other,Unclassified,Requires manual review,False
017,AMAZON* BX45J1123 VANCOUVER BC,-35.98,False,CAD,,Refund,False,2025-09-24,2025-10-23,2025-10-21,2025-10-23,2025-09-24__2025-10-23,202510,2,28,Tuesday,False,AMAZON* BX45J1123 VANCOUVER BC,unmatched,0.0,Other,Unclassified,Requires manual review,False
